	barû	palāsu	naṭālu	ṣubbû	amāru	dagālu	hiāṭu
_ (42366)	12	2	3	0	27	0	4	48
administrative (20578)	0	0	0	0	1	0	3	4
administrative letter (175921)	2	0	0	0	253	58	11	324
administrative record (25873)	0	0	0	0	0	0	2	2
astrological (8345)	2	0	0	0	60	0	0	62
astrological report (34003)	6	3	1	0	560	2	0	572
astronomical (7559)	2	2	2	0	126	0	0	132
hemerological (3378)	1	0	0	0	8	0	0	9
historical (2151)	2	1	0	0	3	0	0	6
hymn-prayer (5782)	1	3	2	0	2	2	2	12
incantation-ritual (32803)	14	19	3	0	75	5	0	116
legal (128967)	0	0	0	0	1	2	0	3
legal transaction (60360)	0	0	0	0	1	2	0	3
lexical (12284)	2	0	0	0	1	0	0	3
literary (42826)	30	11	20	4	95	5	10	175
mathematical (24638)	4	0	0	0	638	0	0	642
medical (7321)	2	0	0	0	6	0	0	8
omen (51264)	26	9	47	1	471	1	21	576
prayer/incantation (4939)	1	8	0	0	3	0	0	12
priestly letter (17851)	0	2	0	0	42	9	8	61
prophecy (2478)	0	0	0	0	4	3	1	8
ritual (12111)	21	14	4	0	0	0	2	41
royal inscription (173027)	33	55	12	13	161	55	13	342
scholarly (5177)	6	1	2	1	19	0	0	29
scholarly letter (40700)	2	0	0	1	187	21	0	211
school (15020)	3	1	0	0	9	0	0	13
scientific (1267)	3	1	0	0	3	0	0	7
technical procedure (4922)	1	2	0	0	8	0	0	11
treaties (10510)	0	0	0	0	4	14	0	18